Airport_ID,Name,City,Country,IATA,ICAO,Latitude,Longitude,Altitude,Timezone,DST,TZ,Type,Source
2243,Rota International Airport,Rota,Northern Mariana Islands,ROP,PGRO,14.17430019,145.2429962,607,10,U,Pacific/Saipan,airport,OurAirports
2244,Saipan International Airport,Saipan,Northern Mariana Islands,SPN,PGSN,15.119,145.729004,215,10,U,Pacific/Saipan,airport,OurAirports
2245,Andersen Air Force Base,Andersen,Guam,UAM,PGUA,13.584,144.929998,627,10,U,Pacific/Guam,airport,OurAirports
2246,Antonio B. Won Pat International Airport,Agana,Guam,GUM,PGUM,13.48340034,144.7960052,298,10,U,Pacific/Guam,airport,OurAirports
2247,Tinian International Airport,West Tinian,Northern Mariana Islands,TIQ,PGWT,14.99919987,145.6190033,271,10,U,Pacific/Saipan,airport,OurAirports
2249,Marshall Islands International Airport,Majuro,Marshall Islands,MAJ,PKMJ,7.064760208,171.2720032,6,12,U,Pacific/Majuro,airport,OurAirports
2250,Dyess Army Air Field,Kwajalein,Marshall Islands,\N,PKRO,9.396889687,167.470993,9,12,U,Pacific/Majuro,airport,OurAirports
2251,Bucholz Army Air Field,Kwajalein,Marshall Islands,KWA,PKWA,8.72012043,167.7319946,9,12,U,Pacific/Majuro,airport,OurAirports
2252,Cassidy International Airport,Kiritimati,Kiribati,CXI,PLCH,1.98616004,-157.3500061,5,-12,U,\N,airport,OurAirports
2253,Henderson Field,Midway,Midway Islands,MDY,PMDY,28.20170021,-177.3809967,13,-11,U,Pacific/Midway,airport,OurAirports
2254,Chuuk International Airport,Chuuk,Micronesia,TKK,PTKK,7.461870193,151.8430023,11,10,U,Pacific/Truk,airport,OurAirports
2255,Pohnpei International Airport,Pohnpei,Micronesia,PNI,PTPN,6.985099792,158.2089996,10,11,U,Pacific/Ponape,airport,OurAirports
2256,Babelthuap Airport,Babelthuap,Palau,ROR,PTRO,7.36731,134.544236,176,9,U,Pacific/Palau,airport,OurAirports
2257,Kosrae International Airport,Kosrae,Micronesia,KSA,PTSA,5.35698,162.957993,11,11,U,Pacific/Kosrae,airport,OurAirports
2258,Yap International Airport,Yap,Micronesia,YAP,PTYA,9.49891,138.082993,91,10,U,Pacific/Truk,airport,OurAirports
2259,Kinmen Airport,Kinmen,Taiwan,KNH,RCBS,24.4279,118.359001,93,8,U,Asia/Taipei,airport,OurAirports
2260,Pingtung South Airport,Pingtung,Taiwan,\N,RCDC,22.67239952,120.461998,78,8,U,Asia/Taipei,airport,OurAirports
2261,Longtan Air Base,Longtang,Taiwan,\N,RCDI,24.85510063,121.237999,790,8,U,Asia/Taipei,airport,OurAirports
2262,Taitung Airport,Fengnin,Taiwan,TTT,RCFN,22.75499916,121.1019974,143,8,U,Asia/Taipei,airport,OurAirports
2263,Lyudao Airport,Green Island,Taiwan,GNI,RCGI,22.6739006,121.4660034,28,8,U,Asia/Taipei,airport,OurAirports
2264,Kaohsiung International Airport,Kaohsiung,Taiwan,KHH,RCKH,22.57710075,120.3499985,31,8,U,Asia/Taipei,airport,OurAirports
2265,Chiayi Airport,Chiayi,Taiwan,CYI,RCKU,23.46179962,120.3929977,85,8,U,Asia/Taipei,airport,OurAirports
2267,Lanyu Airport,Lanyu,Taiwan,KYD,RCLY,22.02700043,121.5350037,44,8,U,Asia/Taipei,airport,OurAirports
2268,Taichung Ching Chuang Kang Airport,Taichung,Taiwan,RMQ,RCMQ,24.26469994,120.6210022,663,8,N,Asia/Taipei,airport,OurAirports
2270,Tainan Airport,Tainan,Taiwan,TNN,RCNN,22.9503994,120.2060013,63,8,U,Asia/Taipei,airport,OurAirports
2271,Hsinchu Air Base,Hsinchu,Taiwan,HSZ,RCPO,24.81800079,120.939003,26,8,U,Asia/Taipei,airport,OurAirports
2272,Makung Airport,Makung,Taiwan,MZG,RCQC,23.56870079,119.6279984,103,8,U,Asia/Taipei,airport,OurAirports
2273,Chihhang Air Base,Taitung,Taiwan,\N,RCQS,22.79310036,121.1819992,121,8,U,Asia/Taipei,airport,OurAirports
2274,Pingtung North Airport,Pingtung,Taiwan,PIF,RCSQ,22.70019913,120.4820023,97,8,U,Asia/Taipei,airport,OurAirports
2275,Taipei Songshan Airport,Taipei,Taiwan,TSA,RCSS,25.06940079,121.552002,18,8,U,Asia/Taipei,airport,OurAirports
2276,Taiwan Taoyuan International Airport,Taipei,Taiwan,TPE,RCTP,25.0777,121.233002,106,8,U,Asia/Taipei,airport,OurAirports
2277,Wang-an Airport,Wang An,Taiwan,WOT,RCWA,23.36737251,119.5027771,115,8,U,Asia/Taipei,airport,OurAirports
2278,Hualien Airport,Hualien,Taiwan,HUN,RCYU,24.0230999,121.6179962,52,8,U,Asia/Taipei,airport,OurAirports
2279,Narita International Airport,Tokyo,Japan,NRT,RJAA,35.76470184,140.3860016,141,9,U,Asia/Tokyo,airport,OurAirports
2280,Matsumoto Airport,Matsumoto,Japan,MMJ,RJAF,36.16680145,137.9230042,2182,9,U,Asia/Tokyo,airport,OurAirports
2281,Hyakuri Airport,Ibaraki,Japan,IBR,RJAH,36.18109894,140.4149933,105,9,U,Asia/Tokyo,airport,OurAirports
2282,Minami Torishima Airport,Minami Tori Shima,Japan,MUS,RJAM,24.28969955,153.9790039,22,9,U,Asia/Tokyo,airport,OurAirports
2283,Iwo Jima Airport,Iwojima,Japan,IWO,RJAW,24.7840004,141.322998,384,9,U,Asia/Tokyo,airport,OurAirports
2284,Nanki Shirahama Airport,Nanki-shirahama,Japan,SHM,RJBD,33.66220093,135.3639984,298,9,U,Asia/Tokyo,airport,OurAirports
2285,Kohnan Airport,Kohnan,Japan,\N,RJBK,34.59080124,133.9329987,3,9,U,Asia/Tokyo,airport,OurAirports
2286,Tokachi-Obihiro Airport,Obihiro,Japan,OBO,RJCB,42.73329926,143.2169952,505,9,U,Asia/Tokyo,airport,OurAirports
2287,New Chitose Airport,Sapporo,Japan,CTS,RJCC,42.77519989,141.6920013,82,9,U,Asia/Tokyo,airport,OurAirports
2288,Hakodate Airport,Hakodate,Japan,HKD,RJCH,41.77000046,140.8220062,151,9,U,Asia/Tokyo,airport,OurAirports
2289,Chitose Air Base,Chitose,Japan,\N,RJCJ,42.79449844,141.6660004,87,9,U,Asia/Tokyo,airport,OurAirports
2290,Memanbetsu Airport,Memanbetsu,Japan,MMB,RJCM,43.88059998,144.1640015,135,9,U,Asia/Tokyo,airport,OurAirports
2291,Nakashibetsu Airport,Nakashibetsu,Japan,SHB,RJCN,43.57749939,144.9600067,234,9,U,Asia/Tokyo,airport,OurAirports
2293,Tokachi Airport,Tokachi,Japan,\N,RJCT,42.89049911,143.1580048,281,9,U,Asia/Tokyo,airport,OurAirports
2294,Wakkanai Airport,Wakkanai,Japan,WKJ,RJCW,45.40420151,141.8009949,30,9,U,Asia/Tokyo,airport,OurAirports
2295,Iki Airport,Iki,Japan,IKI,RJDB,33.74900055,129.7850037,41,9,U,Asia/Tokyo,airport,OurAirports
2296,Yamaguchi Ube Airport,Yamaguchi,Japan,UBJ,RJDC,33.93000031,131.279007,23,9,U,Asia/Tokyo,airport,OurAirports
2297,Tsushima Airport,Tsushima,Japan,TSJ,RJDT,34.28490067,129.3309937,213,9,U,Asia/Tokyo,airport,OurAirports
2298,Monbetsu Airport,Monbetsu,Japan,MBE,RJEB,44.30390167,143.404007,80,9,U,Asia/Tokyo,airport,OurAirports
2299,Asahikawa Airport,Asahikawa,Japan,AKJ,RJEC,43.67079926,142.4470062,721,9,U,Asia/Tokyo,airport,OurAirports
2300,Okushiri Airport,Okushiri,Japan,OIR,RJEO,42.07170105,139.4329987,161,9,U,Asia/Tokyo,airport,OurAirports
2301,Rishiri Airport,Rishiri Island,Japan,RIS,RJER,45.24200058,141.1860046,112,9,U,Asia/Tokyo,airport,OurAirports
2302,Ashiya Airport,Ashiya,Japan,\N,RJFA,33.8830986,130.6529999,98,9,U,Asia/Tokyo,airport,OurAirports
2303,Yakushima Airport,Yakushima,Japan,KUM,RJFC,30.38559914,130.6589966,124,9,U,Asia/Tokyo,airport,OurAirports
2304,Fukue Airport,Fukue,Japan,FUJ,RJFE,32.66630173,128.8329926,273,9,U,Asia/Tokyo,airport,OurAirports
2305,Fukuoka Airport,Fukuoka,Japan,FUK,RJFF,33.58589935,130.451004,32,9,U,Asia/Tokyo,airport,OurAirports
2306,New Tanegashima Airport,Tanegashima,Japan,TNE,RJFG,30.60510063,130.9909973,768,9,U,Asia/Tokyo,airport,OurAirports
2307,Kagoshima Airport,Kagoshima,Japan,KOJ,RJFK,31.80340004,130.7189941,906,9,U,Asia/Tokyo,airport,OurAirports
